Player;Shipname;Side;dmg total;hits;misses;failedEscapes;crits;heavy;hits;
Negotiator;Smartemis 012;Angreifer;360;1;0;0;0;0;360;
Negotiator;Bareschoiv;Angreifer;5727;6;0;0;0;0;400;1457;1120;1065;1186;499;
Negotiator;Baresvenge 34;Angreifer;2105;4;2;0;0;0;120;1306;355;324;
Negotiator;Baresvenge 33;Angreifer;6923;9;3;0;0;0;317;1507;310;1725;176;1438;87;1198;165;
Negotiator;Baresvenge 36;Angreifer;4311;7;3;0;0;0;966;135;846;331;228;1475;330;
Negotiator;Baresvenge 35;Angreifer;5069;6;4;0;0;0;103;1174;355;1376;175;1886;
Negotiator;Baresvenge 30;Angreifer;2205;5;5;0;0;0;178;1557;254;120;96;
Negotiator;Baresvenge 32;Angreifer;3204;5;5;0;0;0;518;1565;351;662;108;
Negotiator;Baresvenge 31;Angreifer;4477;8;2;0;0;0;522;155;1428;375;534;135;1179;149;
Negotiator;Smartemis 019;Angreifer;267;1;0;0;0;0;267;
Negotiator;Smartemis 017;Angreifer;888;1;0;0;0;0;888;
Negotiator;Baresvenge 38;Angreifer;5657;6;4;0;0;0;1081;542;771;1651;1271;341;
Negotiator;Baresvenge 37;Angreifer;2808;8;4;0;0;0;339;95;629;132;626;470;382;135;
Negotiator;Baresvenge 39;Angreifer;4924;9;1;0;0;1;1327;473;1078;125;445;151;321;112;892;
Negotiator;Smartemis 004;Angreifer;941;1;0;0;0;0;941;
Negotiator;Smartemis 003;Angreifer;0;0;1;0;0;0;
Negotiator;Smartemis 002;Angreifer;0;0;1;0;0;0;
Negotiator;Smartemis 02;Angreifer;572;1;0;0;0;0;572;
Negotiator;Smartemis 03;Angreifer;666;1;0;0;0;0;666;
Negotiator;Smartemis 04;Angreifer;724;1;0;0;0;0;724;
Negotiator;Baresvenge 50;Angreifer;8044;12;0;0;0;0;1293;392;1467;326;1103;415;665;108;1288;172;689;126;
Negotiator;Smartemis 05;Angreifer;714;1;0;0;0;0;714;
Negotiator;Smartemis 06;Angreifer;717;1;0;0;0;0;717;
Negotiator;Baresvenge 45;Angreifer;3659;7;3;0;0;0;343;148;1059;108;1378;476;147;
Negotiator;Baresvenge 01;Angreifer;4010;7;3;0;0;1;953;75;744;812;315;615;496;
Negotiator;Baresvenge 44;Angreifer;2525;5;5;0;0;1;406;965;100;777;277;
Negotiator;Baresvenge 03;Angreifer;1268;4;2;0;0;0;404;82;494;288;
Negotiator;Baresvenge 47;Angreifer;4028;9;3;0;0;0;376;356;203;136;949;389;1325;175;119;
Negotiator;Baresvenge 46;Angreifer;5997;9;3;0;0;1;576;490;1037;702;233;1191;327;1254;187;
Negotiator;Baresvenge 02;Angreifer;4944;8;4;0;0;0;104;1300;357;1655;277;425;386;440;
Negotiator;Baresvenge 41;Angreifer;5219;7;3;0;0;0;1038;86;333;1227;1268;147;1120;
Negotiator;Baresvenge 40;Angreifer;6202;9;1;0;0;0;560;160;1748;104;1387;343;1363;353;184;
Negotiator;Baresvenge 43;Angreifer;6622;8;0;0;0;0;1445;394;1380;256;1261;96;1359;431;
Negotiator;Baresvenge 42;Angreifer;2347;5;3;0;0;0;325;364;365;969;324;
Negotiator;Smartemis 008;Angreifer;602;1;0;0;0;0;602;
Negotiator;Baresvenge 09;Angreifer;5349;7;1;0;0;1;971;126;976;685;1011;1227;353;
Negotiator;Smartemis 007;Angreifer;616;1;0;0;0;0;616;
Negotiator;Baresvenge 08;Angreifer;3016;5;3;0;0;0;458;1462;407;573;116;
Negotiator;Smartemis 006;Angreifer;1495;1;0;0;0;1;1495;
Negotiator;Baresvenge 05;Angreifer;6811;10;2;0;0;0;1091;325;1151;355;430;113;1175;363;1463;345;
Negotiator;Baresvenge 49;Angreifer;1992;4;6;0;0;0;350;1189;92;361;
Negotiator;Baresvenge 04;Angreifer;4074;7;3;0;0;0;1158;414;313;1037;386;412;354;
Negotiator;Baresvenge 48;Angreifer;4558;5;5;0;0;0;1082;1243;362;261;1610;
Negotiator;Baresvenge 07;Angreifer;3835;6;4;0;0;0;1466;123;456;424;991;375;
Negotiator;Smartemis 009;Angreifer;606;1;0;0;0;0;606;
